seeds: 1743013627 479267220 3550551835 322865198 2222280847 62086121 994668352 397989190 2519109551 160959843 310810905 165470994 2680069394 158969637 4012149353 411771531 5106672 180882570 3224553643 325998192

seed-to-soil map:
2211960440 1105980220 532987883
552990110 0 520386712
0 3870930770 513970990
2764950550 3317940660 520697236
3317940660 1658970330 526017370
1658970330 552990110 526963464
1105980220 2764950550 538504968
3870930770 2211960440 510679981

soil-to-fertilizer map:
2064496406 3391672667 137989051
737320145 4276456841 140654121
147464029 3244208638 136101054
1622104319 737320145 140126621
3244208638 294928058 137548900
589856116 1622104319 133739943
3096744609 1474640290 146879689
4128992812 2506888493 140605324
1917032377 3686600725 133339598
3686600725 442392087 134131028
1179712232 3539136696 147336410
4276456841 147464029 133444189
2801816551 1327176261 136506030
1474640290 3981528783 142533864
2359424464 2211960435 136521281
1032248203 1769568348 146899432
2949280580 884784174 147217125
1769568348 3834064754 142392721
2506888493 1179712232 139240801
2654352522 2949280580 137431794
884784174 2359424464 133381100
442392087 2801816551 143137543
0 1917032377 143624409
3539136696 1032248203 139460810
3981528783 4128992812 141820298
3391672667 0 144137814
294928058 589856116 136209872
2211960435 3096744609 136809016
1327176261 2064496406 141679662
3834064754 2654352522 145435013

fertilizer-to-water map:
2843949132 4265923698 149208679
3791932176 3317940654 147419590
789985870 3001946306 145415845
2369957610 3633935002 145835764
3317940654 631988696 152994335
1105980218 2527954784 156706497
2211960436 3475937828 149049195
1737968914 947983044 154568879
3159943480 315994348 143278532
4265923698 1895966088 146869510
3949929350 3159943480 150726490
315994348 2685951958 145553827
3001946306 473991522 142597309
4107926524 1737968914 152864606
1579971740 4107926524 157006774
2053963262 2843949132 152132938
157997174 3791932176 147427619
473991522 2369957610 142933271
2527954784 0 151703359
1895966088 2211960436 142367782
0 2053963262 152344694
1421974566 1579971740 156687261
1263977392 3949929350 146009358
631988696 789985870 143665645
3633935002 1421974566 151294615
2685951958 1105980218 144651778
3475937828 1263977392 149235917
947983044 157997174 154300885

water-to-light map:
260230640 3382998320 239137404
2342075760 2862537040 238164943
780691920 1040922560 252089564
2602306400 0 241786147
2081845120 3122767680 258179211
3903459600 2342075760 252026844
1301153200 2602306400 248618291
3382998320 260230640 238024835
1561383840 780691920 249885819
0 1561383840 259055297
4163690240 1301153200 247115775
2862537040 1821614480 253993968
520461280 4163690240 239379843
1040922560 2081845120 248774807
1821614480 3643228960 248316542
3643228960 520461280 256495760
3122767680 3903459600 239313564

light-to-temperature map:
2949280590 3539136708 275531822
589856118 294928059 281696034
294928059 2064496413 276040628
3834064767 3244208649 272114216
4128992826 0 275224076
1179712236 1474640295 294828900
1474640295 1769568354 285335775
3539136708 2654352531 289138959
2064496413 884784177 293166349
2654352531 1179712236 282264303
2359424472 4128992826 289002913
0 3834064767 288947839
884784177 589856118 287696481
3244208649 2359424472 285608713
1769568354 2949280590 266674053

temperature-to-humidity map:
589856118 294928059 287962225
2359424472 3244208649 289161098
4128992826 2949280590 281942757
2949280590 2064496413 283006327
884784177 0 292996695
3244208649 884784177 271608094
1769568354 589856118 293947107
0 2359424472 266464517
1179712236 2654352531 272802688
2654352531 3539136708 293415267
1474640295 3834064767 283468921
3539136708 1179712236 288204759
3834064767 1769568354 269129069
2064496413 1474640295 283672371
294928059 4128992826 287771734

humidity-to-location map:
3062714454 2211960439 156208521
340301606 2722412848 163159464
2552262045 1191055621 160389394
2041809636 680603212 154294425
2722412848 0 158711774
3232865257 2552262045 165965598
510452409 3232865257 155969188
2211960439 340301606 165392033
170150803 1871658833 165088181
2892563651 3062714454 167016040
1361206424 170150803 160359316
4423920878 850754015 156794987
3913468469 2382111242 164473560
3403016060 1701508030 168306345
1871658833 4083619272 161361051
2382111242 510452409 161746204
1701508030 3743317666 156592562
680603212 1531357227 167483804
1531357227 1361206424 168315159
4253770075 3913468469 156396809
850754015 3403016060 166963365
4083619272 4253770075 160605638
1191055621 3573166863 162383923
3743317666 1020904818 167747883
1020904818 2892563651 158377989
3573166863 2041809636 154601489
