LLLLRRRLLRRRLRLLLLRRRLRRRLRRRLLLLRRRLRLRRRLLLLRRRLLLLRLLRLRLLLRRRLRLLRLLRRRLLRRRLLLRRLLLLRLRRRLRLRRRLLRLLLLRLRLLLLRRRLLLLRLLLRRRLRRRLLLRLLLLRLRLLLLRRRLLLRRRLRLLLLRLLRRLLLLRRLLRRLLLLRRRLLRRRLLLLRLLLLRRRLLLRLLLLRRRLLRRRLLLLRRRLRRRR

SQD = (HDJ, RJP)
BCW = (HMR, MSH)
QEH = (QUS, TVM)
OKI = (WEC, SRV)
HDJ = (JLG, CBW)
UHE = (HSC, SNX)
LDX = (RHG, ILD)
BPQ = (MEG, OXD)
PUB = (PJL, PJL)
WHE = (HFN, TSH)
UPP = (HBN, DRU)
KRZ = (YXO, UGV)
UHF = (FLC, DNC)
RKV = (OEU, XON)
JJH = (BXD, KTQ)
DLM = (HTH, SQW)
CNI = (UCU, ITL)
SRV = (DQE, GLB)
TMJ = (LGM, DBK)
QOI = (YRH, CFN)
BWE = (UUE, UPP)
QYE = (HLY, HLY)
NLC = (JUX, QWM)
PYS = (ETJ, GWF)
LJR = (ONJ, XSK)
YPJ = (JHK, COV)
JTR = (YTV, RCC)
IMI = (MBY, JBJ)
SHK = (TTO, KJO)
VST = (QQB, MLB)
LJF = (BPF, BWJ)
LPV = (UCU, ITL)
XFO = (BRN, SWC)
MBY = (PRB, NSK)
VGV = (BWY, BWY)
SYK = (TTO, KJO)
PVP = (TIB, RGY)
JGV = (RQV, TEG)
DBK = (ORC, PVP)
TUG = (ERY, MPY)
SLV = (XSV, DLR)
JUW = (JSJ, WVF)
RQR = (DKX, YSW)
BCL = (QIQ, BCW)
GEJ = (BVG, JPT)
TSH = (IMI, OPB)
CHB = (XMM, VOQ)
OXD = (NLC, VHH)
MQJ = (MTG, IGJ)
BWL = (JYI, UHF)
ITM = (TDK, BXQ)
WGM = (QYD, TGE)
RUX = (OGT, NQO)
VJI = (DTT, EEU)
OHL = (YXK, UMO)
NOR = (ECJ, IEL)
UFE = (CXU, PUK)
HDV = (OMC, OMC)
GYR = (FMC, RVJ)
MKU = (VJU, OVZ)
HMR = (LJD, PCS)
JRR = (HBW, UOB)
FHC = (UCM, OFF)
CMI = (LTL, UBC)
WVR = (LDS, JHQ)
TXP = (BXK, YUJ)
LGM = (ORC, PVP)
EGD = (UCM, OFF)
ONJ = (YGG, PQJ)
WEC = (DQE, GLB)
QWB = (TLE, XJT)
XDG = (UIL, JTS)
JRT = (WWF, YPJ)
QYF = (DLM, IEV)
OTL = (SQQ, YBN)
JBJ = (PRB, NSK)
USI = (WWF, YPJ)
NYM = (REQ, JVN)
QQW = (MSN, LDB)
CMO = (CIU, BCL)
LSG = (PGQ, TUG)
OFT = (WLX, LIJ)
MFE = (NCB, BRL)
SYL = (BPK, GVD)
FSM = (HDV, RWB)
DXJ = (FIU, CPT)
EUU = (ERN, XDU)
KSD = (MTG, IGJ)
JPT = (OTL, MLE)
DSS = (KMH, LUI)
UWL = (QQW, XLN)
VNQ = (UOG, UOG)
IBU = (CNI, LPV)
VHH = (JUX, QWM)
BGV = (UCK, BLI)
KJO = (XCI, DLJ)
YQT = (JDQ, CFO)
QSR = (DTT, EEU)
RUL = (WVR, TBB)
LOT = (TGM, XFO)
TIG = (YEC, IWI)
TLU = (MLJ, LOT)
YUY = (YGL, QWB)
BYC = (TLU, RQF)
UUE = (HBN, DRU)
RHG = (RUJ, HTS)
BVN = (SQD, GTS)
ICH = (UXB, NOH)
WLX = (UHQ, DXJ)
HVI = (CXG, UOY)
JSX = (HUL, YQT)
CQS = (QBM, LJR)
XSO = (CVS, YYM)
NCB = (VGX, WSG)
VQQ = (XKS, SHU)
KKY = (OQM, DNV)
JBY = (EGD, FHC)
TGE = (VST, HNB)
HXZ = (CQS, BVY)
YPB = (SIE, FXN)
RVJ = (BKW, IUX)
JMS = (YOY, MKG)
FLC = (GSQ, KRP)
CXG = (WQJ, HCB)
GFF = (RDC, HTT)
WQJ = (TOW, VIJ)
CVO = (IVC, BYC)
IWJ = (FOF, ETY)
WFK = (BPQ, MUP)
NWG = (WDT, ITM)
TMX = (SLV, WVI)
BEW = (JDL, QCE)
SMY = (HKE, KRZ)
OVD = (JGE, GJN)
LUF = (LEB, QNL)
SXW = (WVT, URC)
EJD = (QYF, KJR)
LMI = (JSX, NIB)
SSH = (HLY, YNJ)
HXI = (RQV, TEG)
GWF = (SDI, JJH)
BXL = (LCX, TDC)
YGL = (TLE, XJT)
MLJ = (TGM, XFO)
TQG = (MXG, RHJ)
SPF = (GTF, YCF)
ETY = (DDC, UXF)
SJX = (OWO, HIC)
XUM = (QSR, VJI)
QGE = (OBF, QOM)
XIT = (PUB, NCJ)
ERY = (EIH, TKH)
GVD = (UED, GGQ)
UNS = (XUM, FUN)
IBV = (HSC, SNX)
UBC = (VJW, OVD)
HQT = (EUU, JDJ)
MUP = (MEG, OXD)
ERN = (CPH, BWL)
FUN = (QSR, VJI)
QTR = (CVQ, LDX)
SUY = (FYB, GFF)
QEN = (LTC, YIY)
QIQ = (HMR, MSH)
LTQ = (CQS, BVY)
PGY = (JWJ, QMX)
OPB = (MBY, JBJ)
CJH = (RTF, EWN)
SHU = (NWG, ZZZ)
URC = (GER, PTC)
SJS = (DWY, MPW)
JFR = (PLP, NJL)
RQV = (OGM, OGM)
WIL = (YFR, HTP)
QQG = (YUD, GTH)
GTF = (VWY, FEC)
IDP = (YFR, HTP)
BSK = (ECJ, IEL)
RFQ = (PLP, NJL)
IGJ = (OFT, MDB)
GSQ = (GGY, WFK)
MPY = (EIH, TKH)
ODY = (DHV, HJC)
SQQ = (QXS, TNH)
MCU = (MYQ, SEM)
IVC = (TLU, RQF)
IEV = (HTH, SQW)
QMQ = (ENL, KVR)
OIF = (NND, NHM)
HSC = (SJX, OSW)
YBT = (SXW, QNI)
TSF = (IHB, BGV)
SQW = (PIG, FSM)
PIZ = (UUE, UPP)
WRL = (CMI, FXH)
YSW = (REO, XNQ)
RXK = (PYL, QTR)
GKF = (DHV, HJC)
YRH = (PTF, YYE)
JGE = (BXL, YLF)
HUL = (JDQ, CFO)
DHV = (RVR, DJW)
RDC = (IFJ, YUY)
UGO = (LSG, PIS)
UIL = (PYS, OUE)
UHQ = (FIU, CPT)
QJC = (JRT, USI)
DLR = (RVQ, CUV)
IWY = (PQK, SPF)
XKS = (NWG, NWG)
YUD = (EBK, DFW)
UMO = (LTQ, HXZ)
CMG = (QGE, SOS)
HIP = (BXK, YUJ)
LCX = (TMM, UQN)
DGO = (BME, GEJ)
PEU = (IDP, WIL)
GTS = (HDJ, RJP)
GGY = (BPQ, MUP)
XOS = (YII, IBU)
YBN = (QXS, TNH)
BPF = (WRX, QEH)
XCI = (UGM, BHP)
LIJ = (UHQ, DXJ)
PJL = (YXK, YXK)
DFW = (RQR, GSI)
FEC = (CIX, WRY)
VWP = (FMC, RVJ)
WSG = (DSS, ILH)
PDX = (CVS, YYM)
CBJ = (QGE, SOS)
NLW = (SJS, EWT)
BVY = (QBM, LJR)
FIB = (WVR, TBB)
EWT = (DWY, MPW)
MTG = (OFT, MDB)
SKR = (LEB, QNL)
XJT = (KLJ, WJK)
PKK = (JSX, NIB)
UOG = (VWP, GYR)
LLQ = (LMQ, SHN)
YFR = (USN, ROB)
WIN = (SDW, CDG)
MRR = (WEC, SRV)
VFP = (DFR, YCC)
LJD = (ITF, YIG)
HIC = (SFV, LHI)
HIN = (TRE, LLQ)
BWJ = (WRX, QEH)
DYQ = (UIL, JTS)
ZZZ = (WDT, ITM)
SNX = (SJX, OSW)
BQX = (QYE, QYE)
YCS = (VGV, SSD)
TYI = (YHX, RTB)
GKL = (JGV, HXI)
YGH = (XDG, DYQ)
ITF = (HKN, YGH)
OQX = (BRP, XHL)
PLP = (SYK, SHK)
LDB = (VVL, YPB)
TLE = (KLJ, WJK)
WRY = (NFX, UNS)
SDW = (JPD, RUX)
RQF = (MLJ, LOT)
QIR = (JRT, USI)
GER = (GNQ, LJF)
UOM = (QYF, KJR)
CWB = (CXG, UOY)
CVN = (NCB, BRL)
NQO = (CJP, CJX)
CJP = (NKP, FNL)
BRN = (YIW, IGI)
LJA = (YXO, UGV)
YJO = (IDP, WIL)
QUS = (CJH, ODI)
HTH = (PIG, FSM)
MLN = (XMM, VOQ)
LDS = (MLN, CHB)
JOD = (TMJ, XSE)
NKP = (BCO, OQV)
SOS = (OBF, QOM)
VOQ = (MRU, TMX)
WVI = (XSV, DLR)
UGM = (CPC, RUK)
KNL = (UOM, EJD)
RTF = (UXQ, MCU)
IUX = (UIP, JRR)
PHU = (OEU, XON)
HUG = (CMI, FXH)
NQT = (TOT, QMQ)
YOY = (LQG, NQT)
QWM = (TXP, HIP)
BXD = (HXM, QOI)
TEG = (OGM, FCH)
SCT = (BQX, WLI)
YTV = (GBD, EUJ)
RGY = (YWT, BJS)
IEL = (SUR, RXK)
CEL = (LTC, YIY)
PIS = (PGQ, TUG)
YCC = (SUY, PTN)
GPO = (SYL, EJS)
CVQ = (RHG, ILD)
HCB = (TOW, VIJ)
HUY = (MXG, RHJ)
OWO = (SFV, LHI)
ROB = (WJX, YKM)
QDD = (LSG, PIS)
FKC = (SXW, QNI)
CFO = (DNW, HCX)
HJC = (RVR, DJW)
GUP = (BEB, VUO)
RUJ = (TSF, KNG)
QNI = (WVT, URC)
LUI = (RCY, VQQ)
UIP = (HBW, UOB)
