LRLLRLRRLLRLLLRRRLRLLLLRLLLLRRRLLLLRRRLRLLRLLLLRRLLLLRLLLLRLLLLRRLRRRLRRLRLLLLRRRLRLRRLLLLRRRLLLLRLLRRLLLRRRLLLLRRRLLRRRLLRRRLLLLRLLRLLLLRLRRRLRRRLLLLRRRLRLRRLRRLLLLRRLLLRRRLRRRLLLLRRRLLLLRRLLLRLLLLRRRLLLRLLLRRLLLLRRRLLLLRRRLRLRRRLRLLRLRRLLLLRLLLLRLRRRLRLLLLRRRLRRRLRRLLLRLLLLRRRLLLLRRLRRRLLLLRRRLLRRRLLLLRLLRRRLLRRRR

NWJ = (WPN, SWP)
GKB = (NVB, SQK)
HKC = (WLK, RKH)
DKM = (PGB, MCS)
LBG = (GSD, DRB)
MFH = (BJK, HKF)
THV = (WNK, TDR)
PLF = (XQT, VTM)
RPW = (NGT, MKJ)
SBK = (VXK, LST)
SHD = (VQJ, RXG)
VRR = (WRP, FBD)
TTF = (SXS, STC)
KVX = (LRF, CVC)
LRF = (VXS, HTD)
QXK = (BKK, WXM)
BHX = (WWC, FHH)
PVL = (NLT, CPQ)
FMH = (TSV, VPR)
RWN = (PBP, VJQ)
XLK = (TGJ, VKR)
JFC = (QSB, LVM)
SFF = (XJC, WDH)
KLK = (RXL, VXM)
QTP = (KCV, NMQ)
HPV = (FMS, WCH)
SRC = (FFW, TPS)
NRF = (GKW, BLC)
VQT = (SHD, TSN)
GVK = (WPN, SWP)
XQL = (DNJ, HSD)
FMS = (TQL, RNS)
BCL = (GKV, SSP)
XMB = (CFC, LLV)
MXR = (SHR, LNX)
GMB = (PNN, PNN)
XTQ = (CQN, NDK)
CSC = (PMM, VPF)
GPG = (MTJ, RWN)
PTF = (WST, PTP)
GXH = (GHX, RHL)
JRA = (DQW, XXX)
MNQ = (GNQ, NDF)
SVN = (GMB, GMB)
RXL = (XJX, KHW)
NXL = (HPV, XCF)
BCT = (HPV, XCF)
DMQ = (DHN, KJX)
MVQ = (LRK, CLJ)
NFC = (SHD, TSN)
TKK = (FFW, TPS)
HJV = (TLB, VNQ)
SQK = (MJC, QPW)
MDS = (PWX, JDB)
GHX = (NQC, MSM)
GFJ = (NGT, MKJ)
RWK = (NQG, MVQ)
PTC = (HXD, LRT)
LPG = (TCD, FBR)
TVL = (TBD, RMG)
GBG = (PHP, TMB)
VGG = (VXK, LST)
WLW = (BKP, THH)
STL = (VNL, BWB)
CNR = (JXM, GJN)
NWL = (VRR, LQT)
BQQ = (QJS, CMB)
BMW = (GRV, QNT)
RHJ = (TFJ, NDQ)
SMQ = (VVB, VHN)
GHR = (XMB, TWR)
GNQ = (JQV, JNH)
CFP = (WJB, MNL)
SMK = (SDP, WGC)
QPW = (KMR, GSH)
WNS = (MDR, QNC)
QJG = (VVB, VHN)
RLM = (TPV, JLW)
RJL = (SBQ, GLV)
WJB = (PDR, XSV)
TCD = (CNN, CBB)
GVH = (FXW, HNC)
TSN = (VQJ, RXG)
XGH = (JPJ, TVM)
VPF = (XQX, HTS)
HGH = (GTM, PTC)
LMJ = (LVG, PRV)
RDM = (PVL, QJP)
STM = (NCP, KVX)
QGW = (NKT, VWS)
KSQ = (PPR, NFR)
CFC = (XLP, FHF)
XRF = (TRJ, SKM)
RRD = (FDF, NDT)
XQX = (GDN, CJD)
XTR = (FJC, LWR)
NVK = (MNQ, RKJ)
GXZ = (KCV, NMQ)
NDK = (RXH, STK)
LRK = (TFC, SPL)
TJH = (SQH, BJL)
QDN = (NTQ, LKT)
XLP = (XGF, JKK)
GSL = (WWH, STM)
LVM = (BQQ, MNT)
CQM = (XWG, KFG)
CQN = (RXH, STK)
SQP = (RXL, VXM)
MCS = (FBS, PSF)
JKK = (GJF, BSC)
WNB = (RKK, RKK)
FFW = (TKC, NDJ)
LJS = (TCD, FBR)
BKP = (VQT, NFC)
CVC = (VXS, HTD)
WST = (XXV, LXR)
KTS = (GHR, XHD)
FFV = (NVB, SQK)
XQT = (RBR, MFG)
HDD = (KFX, RSS)
VFF = (TTR, VFV)
DNV = (SXS, STC)
TDR = (BDQ, DJL)
PSH = (WNS, MQK)
NLT = (CKV, CKV)
GKW = (CSC, RFV)
GKK = (CKJ, DCM)
CKL = (PMD, VBF)
JVS = (PGF, LMJ)
PGF = (LVG, PRV)
RWV = (FMQ, SGR)
MSX = (XWN, LNH)
MDP = (GMB, CLC)
XXX = (XJW, QGW)
DXA = (KCV, NMQ)
XHQ = (DGH, GPG)
PXP = (CQL, RXK)
BQG = (PTF, RSD)
SQH = (LLH, LLH)
WBB = (QSB, LVM)
VKK = (GKB, FFV)
DVK = (NWL, GHC)
LSX = (NJM, GRQ)
LFC = (TTH, GJH)
KJQ = (FGC, VXR)
HNB = (NMW, WVW)
CGX = (WLK, RKH)
FHF = (XGF, JKK)
CLC = (PNN, SJZ)
CCQ = (JVS, FCH)
VNB = (PWX, JDB)
JBG = (MXR, TRH)
NMW = (PVN, BNQ)
VXK = (NHJ, JKG)
LQR = (PGB, MCS)
QBW = (SJN, SBJ)
HSD = (GVH, CDP)
VBF = (BXW, XJP)
JDB = (RJL, RVG)
DCM = (CFP, QTK)
RMG = (JTR, VWB)
QND = (RHG, XFR)
BKK = (HKQ, HGH)
PFL = (CCQ, HPF)
KHW = (WKR, XTG)
NTQ = (FRL, NXH)
DLF = (JHC, JTM)
DGK = (VFH, VVQ)
KKK = (KFX, RSS)
CGJ = (VNL, BWB)
WGC = (DQR, TKW)
BJK = (TCS, DHS)
QMG = (MCT, LBG)
MWK = (LJS, LPG)
MTJ = (PBP, VJQ)
GSH = (CGX, HKC)
KSM = (DNJ, HSD)
VKJ = (RHG, XFR)
