LLRRRLLRRRLLLLRRRLRRLLRRLLLLRRRLLLLRRRLLRLLRLLRLRLLLLRRLLLLRLLLLRLLLLRRRLLLLRLRRRLLRRRLLLLRRRLRRRLLRRRLLLRRRLLRLRRLRRRLLLLRRRLLLLRRRLRRLLRRRLLRRRLLRLLLLRRLLRRRLLRLLLLRRRLRLLLRRLRLLLLRLLLLRLLLLRRLLRLRLLLLRRRLLLLRRLRRRLLLRLLLLRLLLRRLLLLRLLLLRRRLLRRRLRRLLLLRLLRRRLLRRLRRRLLLRLLRRRLRRRLLRLLLLLRRRR

MSQ = (BKC, VGC)
LJC = (TWK, RBR)
KLN = (PJF, XKN)
FLS = (TNP, JFR)
VQM = (GGM, GXS)
BKC = (LRD, TJQ)
KLF = (WVG, BGX)
VJH = (SHP, SHP)
LLK = (VSJ, VDV)
WPJ = (KTT, CQR)
WQD = (HTJ, FTV)
LBC = (XSB, DCN)
MRV = (GCG, QPP)
NJD = (VPT, QDN)
LJR = (NPR, VFJ)
LBJ = (RRS, CCN)
MQS = (HBH, SKT)
DPX = (PQX, SQR)
CJS = (LDD, LDH)
QRN = (KFM, RGB)
XPD = (LJL, QQB)
SVK = (HTC, SGS)
DVC = (XCN, NKX)
QPX = (JKD, GNX)
RVW = (HHJ, GRX)
JLH = (MXH, SXM)
JBG = (SQX, KVF)
HGK = (XNG, KHW)
RKB = (NJD, BKW)
DXV = (NDJ, LBX)
CBP = (XJD, PRT)
HLX = (SDW, MCN)
SGG = (XJN, VDN)
BCR = (TFH, HJF)
KPL = (QCT, DJB)
FTL = (NJH, BHH)
SMH = (DTP, XTB)
PWD = (RJP, WQX)
SRW = (TWH, CGQ)
PNJ = (TRS, HGK)
PKW = (QRW, WRS)
LPR = (BDK, DNG)
SWT = (RTM, CVW)
PFK = (JFP, MSQ)
JRJ = (QSH, SMM)
TTM = (GXX, TMD)
NJJ = (GBR, TRX)
LDD = (XSD, MGJ)
DRS = (BXT, JVP)
BLV = (DCC, HBK)
TXX = (TDW, VNR)
FLQ = (SQX, KVF)
VTW = (GLW, LGV)
XHL = (JFP, MSQ)
HFK = (BBP, TKK)
XSK = (SMH, GFX)
HFV = (WSF, QGH)
TQJ = (NCG, QTD)
HWP = (TNP, JFR)
NXQ = (KDV, SLQ)
NND = (TJF, FVV)
QJF = (HPW, XXL)
SNH = (CGM, RKB)
HPG = (BNM, SKS)
CHQ = (WQD, CPR)
SWX = (VFH, KCM)
DGR = (JXB, BNC)
QQF = (LFL, GDJ)
CGM = (NJD, BKW)
RTM = (LJC, VWV)
FVF = (MBK, CLS)
NRP = (MJH, SMK)
XFQ = (BVD, LHH)
TWL = (HBH, SKT)
GGC = (SVK, NBK)
TWP = (GMJ, QLK)
GWP = (QRD, HML)
STR = (XJN, VDN)
KLX = (FTL, LKR)
MCN = (LVK, XVJ)
RSP = (DXV, MHR)
DGJ = (QQF, GPQ)
GMV = (RNR, NSP)
LDP = (SBW, JTR)
WWS = (HFR, LRW)
FSL = (SDX, RVW)
FBL = (BVN, XPT)
JGK = (SXJ, HFV)
FDC = (SQM, VXH)
MKX = (WWX, KSV)
DTP = (VMP, QRN)
LDH = (XSD, MGJ)
WST = (PJF, XKN)
HQC = (WNT, QJH)
BHV = (TFH, HJF)
MHA = (BVN, XPT)
VXX = (LHG, TDB)
BVX = (QLG, DGF)
XCN = (GWG, GSK)
CQH = (QRF, NJJ)
GXX = (WDN, MXK)
BJS = (HWK, CTT)
BNG = (GXT, CBP)
VPG = (VCM, LLK)
RNR = (VJH, VJH)
FKW = (CJM, XFQ)
KFM = (LQL, VTD)
PDP = (RSC, KKB)
RPD = (LMR, XSK)
TWD = (JSP, VNL)
QSJ = (DKG, BJM)
XSB = (MGK, CJG)
MHR = (NDJ, LBX)
QFX = (GWP, JKQ)
BVN = (SNJ, WGK)
NVX = (GNB, LMF)
GWX = (NPR, NPR)
CKN = (DTS, DTS)
MCP = (HNM, NXQ)
RWM = (KBF, CMR)
HBK = (FHL, JPX)
HCM = (FLQ, JBG)
XVH = (HNK, BLV)
CQR = (NST, CQM)
JVP = (HGM, RKM)
QQB = (WPF, XVH)
PBF = (GNS, BWF)
NFT = (QQF, GPQ)
BMN = (MJV, FXH)
XRM = (GWX, LJR)
RHK = (XMN, TQJ)
KDV = (WVV, DWG)
HSP = (VPV, KXC)
JSP = (CJV, LFF)
DHF = (SDW, MCN)
PFC = (CGH, SCW)
GFW = (DQT, LBS)
JKR = (NLG, DJG)
PBR = (XCW, HWS)
SRF = (KDK, DBP)
FVV = (VWJ, PFC)
HWS = (DVM, NGK)
GSK = (FRN, GFP)
VNR = (JWR, PPR)
HHM = (VWN, BQS)
PRL = (BCR, BHV)
SMK = (BCC, HRC)
NGF = (JSP, VNL)
KVT = (PLQ, FSV)
KQX = (MBK, CLS)
LQG = (FKW, GFR)
XPT = (SNJ, WGK)
NBQ = (HPW, XXL)
HDZ = (WWC, XRL)
VDN = (GSV, JTH)
BTG = (WNK, FLH)
GNS = (XTF, VTW)
RJC = (NBQ, QJF)
NLG = (DHF, HLX)
JPX = (JXJ, VQM)
KBF = (VTH, KWK)
BQQ = (XPV, BNJ)
WNK = (WST, KLN)
GDJ = (LDP, BGR)
RSN = (PSN, RWM)
TMD = (WDN, MXK)
MJV = (TQD, KQL)
LKF = (HXD, TBC)
NST = (RQG, SCK)
TMS = (DWL, GXL)
BWF = (XTF, VTW)
WXL = (FSW, SRK)
XJN = (GSV, JTH)
FKL = (LMR, XSK)
NTM = (RJH, BJS)
PXP = (GWW, GMV)
BVD = (KVT, MHJ)
XRL = (DQW, CBG)
FFR = (JFG, TMW)
BDX = (TWX, PNJ)
HWK = (CNF, JQL)
QJT = (QGN, ZZZ)
TFH = (PWH, RJR)
TMW = (RVV, VGS)
WDC = (RJC, KSK)
SDW = (LVK, XVJ)
QHH = (QRF, NJJ)
HVG = (HQC, LLN)
QJH = (FFR, BFS)
KXC = (SWT, NWG)
LQL = (HVG, HWW)
GWG = (FRN, GFP)
FJR = (QNX, PLT)
LGV = (QVJ, KPD)
DJB = (SRX, RWV)
LKR = (NJH, BHH)
CJP = (FHJ, DFR)
XMG = (MPC, PDP)
LVX = (QJS, CCC)
QCR = (BXT, JVP)
GTC = (NLG, DJG)
HQH = (MJV, FXH)
XPV = (FFJ, MKX)
MGK = (QFX, LSM)
STZ = (BVN, XPT)
QWT = (WJN, CTF)
RCM = (DWL, GXL)
DFR = (NXC, BJF)
TQD = (QQH, LBN)
MHJ = (PLQ, FSV)
PPR = (PKW, GXH)
BCA = (WWC, XRL)
QDN = (QMH, LPR)
XSC = (VCM, LLK)
XLH = (GKJ, GKJ)
NQN = (VHC, WDC)
VDV = (VXN, DNM)
STH = (MJH, SMK)
KTT = (NST, CQM)
FXH = (TQD, KQL)
LFF = (PRL, GQP)
PWH = (DWP, DWP)
TRX = (TWP, VPJ)
MTF = (QJS, CCC)
WNG = (PFK, XHL)
LWP = (GNB, LMF)
TTQ = (SQM, VXH)
CTB = (DVC, NHJ)
QLK = (CMJ, TVL)
HWT = (TJF, FVV)
QMH = (BDK, DNG)
BGS = (QSH, SMM)
NSP = (VJH, MXQ)
SSV = (QKF, DMT)
