LLLLRLLLLRLLLLRRRLLRRLLLLRRLLLLRRLRRRLRRRLRRRLRRRLRRLRLRLRRLLLRLLRRRLLLLRLLLRRRLRRRLLLLRRLLLRRRLLLLRRLRLRRRLLLRRLLLRRRLLLLRRRLRRLLRRRLLRLRLLLRRRLRLRLLLLRLRRRLRLLLLRRRLRRRLLLLRLRRRLLRRRLRRRLRLLRRRLLLLRRLLLRRLLRLLLLRRRLLLLRRRLRRRLLRRLLLLRRRLRRRLRRRLLLLRRRLRRRLLRRRR

HRH = (FMC, FSM)
DMT = (LSG, WFG)
MHV = (HFV, WJL)
VQF = (BCN, RDV)
QFN = (MRQ, VPX)
CMP = (GSD, XKJ)
DQD = (QKM, LKG)
PRL = (HPS, GQK)
BLB = (HMT, VNK)
PNB = (TSJ, LBQ)
PJG = (QFN, MBH)
WNT = (HPS, GQK)
DTL = (PHH, XNW)
RCW = (QLC, QXN)
MKB = (NQM, CLV)
RVC = (XKC, QJG)
FRP = (SBH, GVS)
WMC = (XBN, JQV)
TLH = (QBB, JQP)
DBS = (JPW, NPR)
CWV = (CQF, RJL)
XXP = (FXB, JCS)
NRB = (CKL, QCF)
DTT = (NPD, XXL)
BCR = (KGT, SBK)
RBR = (VGX, PHQ)
QWC = (MKT, SCQ)
GDH = (XSK, LRC)
JVF = (TBN, PSW)
KKW = (BLB, QKF)
FKN = (VJX, RDW)
JJF = (RFW, XDX)
RSW = (PCV, KKW)
XBC = (MQF, SGK)
QWW = (PGC, XTB)
TTL = (GDC, PMR)
LBQ = (RSW, LSC)
GGD = (CVF, BKT)
RLH = (NQM, CLV)
KGD = (MMK, QWW)
WKR = (FTH, BCW)
TGB = (SSH, QRB)
WFL = (DCX, DCX)
BSL = (XRG, KRM)
QTL = (SQJ, DNR)
LNQ = (GVR, GVR)
SWV = (PJP, TQF)
GSG = (HFV, WJL)
BMR = (MBW, WTQ)
PFD = (HBW, FLH)
VHJ = (XQP, HML)
NWJ = (GHK, TTL)
QGD = (GBX, RPT)
VJG = (SHD, MXV)
WSB = (RCQ, TKH)
JLD = (HDR, FWR)
PJX = (FCP, XSR)
WSK = (HRL, LMJ)
HNV = (SNJ, NLJ)
PWT = (KMN, QXG)
WTQ = (WMC, CHW)
RCX = (QWJ, SQS)
VDG = (SGH, PSG)
PWD = (SCV, MLJ)
CNJ = (WVQ, XQM)
FPV = (FPH, LWR)
KPB = (TBN, PSW)
JPJ = (CWQ, LMC)
QCF = (NXW, TMF)
TJS = (SFK, JMR)
MKT = (DFP, XDF)
MVX = (JLW, GBM)
JMR = (PMQ, VHG)
TWN = (XVG, SBR)
FPF = (FGP, QGD)
RWX = (SWV, KRX)
VWP = (RCV, QMG)
HHM = (DTT, VKL)
PQW = (PKM, FFX)
TFR = (SHD, MXV)
PKV = (LNG, JWN)
LSG = (XHK, FQB)
BCW = (PFD, TKM)
PST = (GGD, JGR)
XKC = (QQG, JWH)
JCG = (KFC, FTR)
