LRLRRRLLLRRRLLRLLLLRRRLRLLLLRRLLLLRRRLLLRLLLLRLLLRRLLLLRRLLLLRRRLLRRRLLLLRLRRRLLLLRRRLLLRRLLRRLLLRRRLLLLRLLLRLRRLLLRRRLLLLRRRLLRLLRRRLLRLLLLRLRLLLRRRLLLLRRLLRLLRRRLRRLLLRRLLLLRRRLRRRLLRRLLLLRLLRLLLLRLLLRLLLLRRRLLLRRLLLRRRLLLLRRRLLLLRRRLLLLRLLRRLLLLRRLLLRRRLLLRRRR

NHR = (RTR, SWL)
XWX = (PBJ, HPC)
STQ = (RFV, TVM)
MHR = (RRG, KCX)
XVH = (VJQ, HTP)
KKF = (VBP, TWS)
CFS = (LWS, GDX)
SCW = (JXC, CKV)
GGM = (RDN, TJJ)
HHV = (HQM, HWM)
TSH = (QSW, BVJ)
LLW = (BSF, GQH)
KKD = (XPH, XPH)
KCN = (BFT, BFT)
RRG = (DCH, GKG)
LKJ = (KDD, FQH)
KJT = (JRN, KNP)
WCG = (MBK, WND)
TQN = (TSL, TVW)
VBV = (WRK, JPX)
RKV = (FDQ, WCQ)
DBK = (FKB, HSH)
QHH = (HHV, MCB)
BCM = (NHR, RJH)
JXP = (SKC, BNK)
QPL = (GLT, TMP)
PRG = (JCT, SVL)
HTZ = (FKS, HWT)
CSZ = (GKL, LKL)
XWH = (KLH, BGD)
XPL = (CQJ, LCG)
NRF = (CJD, FCT)
PKT = (QJD, TSW)
LRF = (TMQ, JPV)
LFK = (TPC, HTM)
GKX = (KVL, KTJ)
XDD = (VPR, FRJ)
JBL = (GJS, SRK)
PCL = (NSS, MPC)
RFG = (DLD, NSJ)
TDT = (VWN, KFP)
XBQ = (BLL, WHT)
QGJ = (DBG, STD)
CCT = (CDQ, JDT)
TXW = (XPF, BBV)
MLK = (GVD, BFS)
FVA = (TFR, XQC)
RRX = (WFF, FRT)
KNB = (MWQ, CSZ)
GDC = (WCC, PVV)
MFJ = (FKF, WTW)
RCB = (KVL, KTJ)
KCF = (NJB, HFK)
PVQ = (KKD, KKD)
PNS = (JXP, SVH)
PVM = (QRG, LRT)
MPT = (NGN, TNQ)
SDX = (XDD, BML)
BQL = (VFV, CGB)
PVF = (JCN, FHH)
PCD = (NWC, BCM)
FFF = (SJL, VGD)
JKC = (HJX, TDT)
DNT = (KDD, FQH)
MWQ = (GKL, LKL)
JFG = (JWT, HGH)
CGL = (WXW, HHF)
NCR = (QHL, GSH)
HXN = (GKX, RCB)
GFQ = (FMD, WSG)
VNF = (BFT, GTN)
XVR = (TGP, CMN)
QCF = (TSH, WQK)
MXM = (QJD, TSW)
VBD = (XQB, LLT)
BVJ = (XSK, HVC)
WQF = (PVQ, RVD)
GMP = (KGF, TDH)
VBX = (NWC, BCM)
FJM = (RRC, MWK)
GKT = (BHQ, MLK)
XGN = (HDX, CQT)
FMM = (VFQ, NCW)
XVS = (WRV, KRT)
KGF = (MPT, LNV)
TFW = (FBV, HKZ)
RLM = (WCC, PVV)
PMV = (VQG, GDB)
WTF = (FVD, GNL)
WXW = (CLM, FBK)
QCN = (JXP, SVH)
HTP = (FPD, HCN)
SQF = (CVM, XKN)
RBN = (QLS, DKB)
FVD = (MQQ, RMG)
WNG = (CGS, GCG)
RFX = (JWG, PPV)
MWS = (VGP, NRF)
FPH = (TJC, WDQ)
MXH = (QLS, DKB)
TGP = (GSG, DXH)
QRG = (KKF, RJN)
GKL = (BNJ, STQ)
SVL = (VGJ, VTK)
LXJ = (MHB, PFJ)
JWG = (LVF, MCT)
BQT = (XPF, BBV)
LFP = (MDR, DJJ)
KXJ = (MBK, WND)
LVP = (LWF, FCG)
PBR = (QBD, NVM)
MJQ = (WNG, STK)
BNJ = (RFV, TVM)
FMV = (RFT, TNL)
DJJ = (MXK, SCV)
WCL = (PLL, TKC)
KFV = (XSX, XSX)
GDK = (PLL, TKC)
VTG = (DVN, KNR)
CLM = (RLJ, DJB)
NFX = (NCG, KTQ)
GST = (HXN, QXW)
RTR = (FBP, JWC)
GTS = (BWF, VBV)
GQT = (VBD, XRJ)
NBT = (KHN, JBW)
VGP = (CJD, FCT)
JPK = (FKF, WTW)
SLT = (MNW, CLS)
RST = (RLP, WQD)
XBR = (FKB, HSH)
LVV = (MWS, XXN)
JDR = (CQJ, LCG)
WDG = (HBH, BJJ)
GBN = (RKX, RKX)
MPC = (XBQ, HCS)
PPV = (LVF, MCT)
JLS = (WDG, KGP)
QLS = (DBK, XBR)
KRK = (KGF, TDH)
KMX = (QGG, CMJ)
XHS = (WWG, TPJ)
DHQ = (PCD, VBX)
DKT = (JBL, JHK)
JHK = (GJS, SRK)
TCT = (WQF, KLG)
BLL = (FMM, FVK)
HPQ = (RJS, PRQ)
MRQ = (HJX, TDT)
BLN = (RFX, WDT)
VHX = (QFW, TTL)
WKD = (DMD, WGP)
FSQ = (GBN, GNT)
SGK = (KKG, NMC)
LHR = (BWF, VBV)
XHV = (GKN, MJQ)
LWS = (QFP, XHV)
NXQ = (KFB, GGC)
JDB = (HBX, KPN)
LTT = (WRS, QRB)
SBV = (VQG, GDB)
WQK = (QSW, BVJ)
KGJ = (BPG, RQT)
KSF = (XWH, BRV)
PVV = (FHB, PQX)
JDM = (JCT, SVL)
TNL = (PBR, HSK)
RTG = (BHL, CJC)
PBH = (JKC, MRQ)
HSK = (QBD, NVM)
XTT = (FMD, WSG)
JRG = (DDR, PHB)
HWT = (QCN, PNS)
WFF = (FMJ, CGH)
LLT = (NNN, WDX)
VFW = (CGL, HNP)
FBN = (NBW, RRX)
BLH = (MWJ, LRS)
TFK = (BHQ, MLK)
XKQ = (XDJ, SVX)
NNN = (CGQ, QCP)
VGS = (CFS, QHT)
CRC = (DLV, GCL)
RVD = (KKD, VTV)
KWS = (KCF, NLL)
MJD = (QLH, NRD)
LKL = (BNJ, STQ)
