LLLLRRRLLLRRRLRLLLLRRLLRRLLLRRLLLLRRRLLRRRLRRRLLLLRRLRRRLLRLRLLLLRRRLLLRRRLLLLRRRLLLLRRRLRRLLLLRRRLLLLRRRLLLLRRLLLLRRRLLLRRRLLLLRRLLLLRRRLLLLRRRLRLLLLRRLLLLRRRLLLLRRLLRLLLLRRLLRRRLLLLRRRLLLLRRRLLRLRRRLRLLLRRLLLRLRRRLLLLRRRLRRRLLRLRLLLLRRRLLLLRLRRRLLLRLLLLRLRRRLLRRRLRRRLLRLLLRRRLRRLRRRLLLLRRLLLLRRRLRRRLRLRRRLLLRLRRRR

HGQ = (WKS, VFW)
MSF = (NWS, MWJ)
FLL = (GDG, JRS)
PLR = (XWX, CLC)
DWT = (QDN, TFR)
PHS = (JFW, FBM)
PQD = (HWJ, MQR)
NRQ = (CJB, FXN)
LGR = (CSB, CJM)
MXG = (TWH, CVS)
GRV = (RGG, DVH)
RMV = (QMF, QKL)
DLK = (VSK, CQK)
DNC = (HTH, LDP)
TDQ = (XGB, CCX)
TWQ = (PMJ, HQX)
CMH = (NVB, SPT)
NBT = (HTD, JBK)
GCN = (MHP, GPX)
KSR = (CFB, BKD)
KGD = (LHP, PPM)
QQX = (SSM, MST)
SVM = (TCC, XWW)
STX = (STR, STR)
CMM = (NGG, DNX)
DTA = (DBS, CBK)
CVS = (HBP, PQV)
DTP = (FCX, WBL)
HRV = (NKP, BXT)
MPB = (HMW, FHN)
TMP = (DKV, RVS)
KMX = (JML, CMH)
JQW = (JRQ, SVK)
GLK = (NQB, LMK)
MNK = (RRD, PMW)
NCP = (LRP, CQL)
JLN = (NBK, DLK)
DRG = (VGL, GRV)
JJK = (TLH, JVR)
GPF = (CLH, LTB)
SKR = (PWH, TLG)
FVJ = (GBT, KJD)
WGZ = (BKV, RHR)
GGT = (NPC, QHG)
BVJ = (QWC, JNL)
KLQ = (RMV, HVX)
PHB = (HWX, NKQ)
JRT = (CGT, VMB)
XQG = (WMX, GPT)
RDB = (HLS, SQV)
LWR = (TWT, RFM)
QCW = (BJQ, CNB)
QKD = (VRW, QJV)
CFN = (MTV, JVC)
QFB = (HRV, SNX)
CCL = (BLJ, MDQ)
VLN = (HHL, CFW)
DFK = (JNF, TXV)
TSX = (PKH, LXJ)
NBK = (VSK, CQK)
HRF = (MRD, GCN)
VVT = (FPJ, DWT)
XQT = (NBQ, CVX)
LWC = (FXV, GKP)
SHK = (VQR, LSW)
TJB = (PVD, QKN)
GDK = (SMM, HDC)
MWJ = (JPQ, JSM)
MDQ = (JSH, MWD)
FGW = (KXL, FQW)
BFB = (VDW, JKV)
JNF = (RGX, SNG)
RCJ = (TFQ, VHH)
GDJ = (QLD, SHK)
PMJ = (VFR, SKL)
RBP = (GLT, HCQ)
NWB = (BLV, DRG)
RNN = (RMD, DCC)
KXF = (NBM, DGP)
MVF = (HXP, CDV)
BCG = (BLV, DRG)
PWJ = (JDR, QVH)
JSV = (MVJ, JQW)
JGH = (JMG, DBM)
TDX = (XGB, CCX)
JRQ = (MSH, SVM)
BJW = (FGT, VMQ)
RSK = (GDK, WTS)
LND = (GDG, JRS)
FDN = (TTP, DXC)
NLQ = (LTQ, FDN)
VJH = (DWF, FWL)
JVR = (KNC, GRW)
STF = (GDJ, NDD)
QMF = (KGR, QKC)
NBQ = (KNB, TTR)
TWF = (KTR, VRT)
FHN = (RKG, VDD)
FPJ = (QDN, TFR)
VDK = (CJS, PWJ)
SGC = (FPD, HVQ)
JDR = (QRB, RKM)
FXN = (LWJ, QFC)
CNT = (FPT, TBV)
MHP = (TPP, QFR)
FXV = (CVT, NJP)
LHP = (MMM, GVC)
XBW = (LHP, PPM)
RHL = (HKB, BNG)
DWQ = (CLW, WJP)
HXS = (VVT, LVF)
TSK = (CFN, DCT)
NPC = (CGD, DDD)
WBL = (RDB, MGC)
LWJ = (TGN, NPS)
RVP = (XXT, SRH)
RQX = (RRM, BRR)
BNC = (KDH, JJT)
WXQ = (QLR, XDX)
LML = (NKT, WST)
MMM = (BDW, JFV)
HLS = (FBN, JND)
VFK = (WXQ, JVV)
QHV = (MBV, KSR)
SRH = (QVB, MLP)
KCD = (BLJ, MDQ)
MLP = (MNM, CTW)
VML = (STR, LXZ)
DCT = (MTV, JVC)
GRD = (KXD, JJK)
RVS = (DBV, HGQ)
GJM = (CFJ, QKX)
SNG = (BFG, CQV)
JJS = (RFX, NRX)
HQX = (VFR, SKL)
NDD = (QLD, SHK)
MQP = (PHS, MGX)
SHM = (QWC, JNL)
HGC = (PXL, FCP)
LFH = (VBW, VQC)
MVN = (LML, WMB)
WKS = (VWJ, KNN)
KBJ = (LND, FLL)
RST = (RNT, RFG)
TPP = (TSK, JKT)
FQQ = (QBV, HPL)
CLR = (BJQ, CNB)
NWS = (JPQ, JPQ)
JFW = (XHD, KHK)
PXL = (MQT, DHX)
PTS = (FPD, HVQ)
PDP = (STX, VML)
GPX = (TPP, QFR)
TRS = (SVV, XFH)
KHT = (CLH, LTB)
JFV = (TXF, DLF)
BKQ = (PVD, QKN)
DPW = (KTR, VRT)
LMK = (RFS, MPW)
QGF = (QNT, FGJ)
GJB = (HXP, CDV)
BXT = (VKC, VWH)
QVH = (QRB, RKM)
JVC = (JTL, LGB)
MSG = (RXQ, QKK)
JML = (NVB, SPT)
CDG = (RXQ, QKK)
DTT = (FXV, GKP)
JBK = (NKD, QRG)
TMW = (BKV, RHR)
VQC = (NRQ, WVV)
LDN = (DTQ, FQQ)
KNB = (RVP, WLV)
DTQ = (QBV, HPL)
STR = (DBS, CBK)
CFJ = (JGD, LMV)
DXM = (CHK, BNC)
SRD = (FRV, GRD)
KSD = (DQB, RCJ)
RRD = (BWH, RWQ)
DCC = (SHM, BVJ)
VQR = (WFP, DFT)
XTL = (VMD, CXK)
GWX = (SSM, MST)
TWH = (HBP, PQV)
HLC = (CLN, RPN)
GGJ = (KXF, PDD)
NRX = (JLW, GWC)
QMB = (STF, JLG)
NDG = (SVV, XFH)
RFX = (JLW, GWC)
GXG = (VVT, LVF)
LJR = (QKD, MTT)
CFB = (GPF, KHT)
DLM = (LBP, VQS)
NBM = (BJW, MSQ)
RRM = (FBR, FBR)
FQW = (MMH, TMP)
XNV = (KQS, RCM)
FHF = (VWP, LPT)
SDM = (CSB, CJM)
VDW = (HKH, FRW)
SCN = (RQJ, MSN)
GRK = (LBP, VQS)
MNM = (VBM, LDV)
JMG = (NWB, BCG)
QXJ = (BNV, JFF)
DVH = (KCX, GPD)
VMD = (FGW, TTW)
FPT = (PXT, KBJ)
NCM = (VJF, XLT)
JNL = (TJB, BKQ)
HTG = (TWT, RFM)
VPP = (JTT, MPB)
AAA = (CLN, RPN)
NKD = (QCW, CLR)
WTS = (SMM, HDC)
LTB = (FKC, FLK)
SVK = (MSH, SVM)
TTR = (RVP, WLV)
SCD = (WHK, RNN)
XHD = (PRW, FJV)
CRN = (NWS, MWJ)
QKN = (XPX, CJR)
MGC = (HLS, SQV)
GDG = (RDF, QFM)
BNG = (KXC, TBC)
LFG = (HLR, VJL)
HDC = (SRD, CWX)
LSW = (WFP, DFT)
TBC = (TXP, FKR)
BDW = (TXF, DLF)
HLR = (KSD, JKB)
WMX = (NMS, PHB)
