LLRRRLLLLRRLLLRRRLLLLRRLLRLLRRLLRLLLLRLLLLRRRLRRLLRRLLLRRRLRRRLLLLRLLLLRRRLLLLRRRLLLRRRLLLRRLLLLRRRLLLLRLRRLLLLRRLLLRRLLLLRRLLLLRRLLLLRRLLRRRLLRLLLLRLLLLRRRLLLLRRRLLLLRRRLLLLRRLLLRLLLRRLLLRLLLLRLLLLRRRLRRLLLLRRLLRRLLLLRRRLLRRRLRLRRRR

HWT = (TQF, SQJ)
NWM = (HFT, GMQ)
KDD = (VVC, XTZ)
GTL = (KGG, KNG)
KFF = (XDB, QQX)
VNV = (VTX, CMH)
PTF = (KMK, XBF)
VSP = (BRD, LNX)
LHG = (RRD, VMH)
JXF = (GPV, RSN)
BXS = (VDF, SGC)
HFD = (CNW, RKC)
SJV = (DTT, JJD)
HWP = (JHF, WCX)
TMS = (JSP, TKX)
BFH = (HMG, SMC)
MDH = (LGH, KHF)
DGS = (GPX, KWR)
TXQ = (XPL, NKQ)
BLT = (NBW, NRR)
HCF = (VDP, KRJ)
PCX = (QHD, LDG)
THH = (PJF, FWD)
GJV = (RRL, GMD)
QHK = (SJK, GCN)
GHQ = (MBM, LCV)
JNR = (TJH, GTR)
GTR = (GPL, QQP)
MKN = (BSF, HFX)
QSZ = (MWS, FXR)
HMG = (JVJ, TFL)
RPF = (FGV, PKW)
WRM = (VRW, MDP)
BFF = (RVL, FFK)
SNJ = (HGD, BSS)
KBV = (CXS, CXS)
WGX = (VNV, GHH)
CCX = (BFQ, BSW)
NQR = (GGC, KRG)
WFT = (XDF, WSH)
CQK = (VRT, LSV)
GRN = (MKN, QRJ)
HXJ = (PTX, WTK)
TFH = (VCV, CCN)
WMF = (DRV, BNJ)
JHS = (HRF, VFM)
XNQ = (DNK, RWL)
PCG = (KCT, DKG)
RSJ = (VVT, TSN)
WCL = (LDC, CVH)
WXP = (JQX, PCV)
XDB = (RTJ, MMG)
GDM = (WXP, LNN)
PPN = (VQB, RPH)
WFC = (WPD, QDJ)
DRB = (JVQ, BJZ)
SDG = (FMF, KQL)
SCS = (JNC, RSJ)
RSN = (LWL, VQW)
MLT = (HNP, RJD)
LCN = (FPQ, VLN)
MDP = (WFT, NQW)
BGP = (RVL, FFK)
QHB = (WPT, GSC)
NMF = (WCL, BMH)
RPS = (DLX, RQP)
GGP = (FCK, CNP)
JSC = (NLN, RTP)
LWL = (QDR, NGD)
