LLLLRLLLLRLRRRLLLRRLRLLRRLLLRRRLLLLRRRLRLLRRLLRLLLRLLLRRRLLLRRRLRRRLRRRLLLLRRRLLRRRLLRLLRLLLLRRLRRRLRRLLLRLLLLRRLLRRRLRLLRRRLLRRLLLLRRRLLRRRLLRLLRRRLLLLRRRLRLRRRLLLRRRLLLRRLLLLRRRLLRLLLLRRLRRRLRRRLLLLRLRRRLLLRLLRRRLRRRLLLLRRRLLRRLLRLLLRRRLRRRLRRLLRRRR

NBV = (BBH, FSP)
KMR = (RXM, PWR)
LBA = (QLF, QDL)
KLD = (WMN, TJN)
KVS = (GND, BLT)
RPJ = (QGF, WVR)
DCG = (MTP, FCQ)
BHG = (KTB, SHR)
GFK = (BMD, PHR)
CNT = (WTF, BMS)
PJN = (VPN, VFQ)
WPD = (RPJ, WMV)
BBN = (MSM, TWS)
TPD = (WCN, LPC)
PMQ = (VWF, WRN)
RMD = (KDP, QLJ)
MKV = (XLB, LKR)
SDW = (JXV, SSR)
QGL = (XVL, PKH)
PSF = (BDV, FMF)
SQR = (CCP, SHP)
WMN = (MJV, WHX)
HBL = (HXX, WRR)
TMM = (VVF, GJS)
BRJ = (QQG, VBF)
LLX = (FCW, FCW)
HDF = (XPD, MBB)
MBJ = (SCR, SPM)
KVQ = (WCQ, NGD)
CVV = (CCS, FLG)
VKP = (WWD, RVK)
QMS = (HPW, SJH)
GFJ = (FRW, WDP)
LKR = (KLN, WPQ)
LVF = (JXV, SSR)
KWJ = (CCH, SCF)
LCS = (MXX, FNG)
DCD = (HPW, SJH)
TWS = (PBV, KPM)
XXM = (WGS, XDP)
TNB = (GGP, TMM)
FQW = (LLW, NWS)
PXV = (RVD, SKD)
JFM = (RXM, PWR)
CWW = (HJM, SMF)
TQR = (CDQ, MGJ)
MPT = (TPL, MQK)
LPT = (WTF, BMS)
WHX = (FXK, MPT)
FVT = (KLC, RKG)
QTC = (JQC, JQC)
NWM = (TRM, QNL)
MVW = (HXH, GBT)
QNL = (XKD, VLG)
VVW = (FQS, RQR)
MSS = (XCQ, JBH)
VNQ = (WBJ, GJC)
XRZ = (RLP, QLR)
GQK = (GGK, WLN)
NGG = (GHN, GQS)
DCV = (CHK, KMC)
VGK = (QJN, LWJ)
DHR = (BJL, QVW)
NDT = (RMD, BXD)
PCX = (TQT, LJV)
LKX = (QST, CWS)
WKG = (XPD, MBB)
QBH = (NRK, XRZ)
JRR = (XCQ, JBH)
RBH = (JXN, RJX)
CCK = (CCP, SHP)
FPR = (MTH, FVG)
RHQ = (WRL, WRL)
VRQ = (FVL, XHR)
FJB = (NSG, PGL)
JMM = (WPD, WRV)
FKG = (LTP, LWT)
RVK = (XMJ, HMW)
MRC = (JQC, SDZ)
MJP = (KGV, JLM)
VDM = (LCS, WLL)
TWR = (FNS, MFP)
MSM = (PBV, KPM)
RXM = (XKJ, JCX)
SCR = (RVN, SVB)
WMV = (QGF, WVR)
JQR = (PMQ, TLH)
JXV = (STG, HBL)
GMM = (GDK, SHH)
VKG = (HKC, VPC)
FQM = (NDB, JCP)
GQG = (LTP, LWT)
LWT = (GWC, FVB)
LTP = (GWC, FVB)
VMQ = (JXN, RJX)
QQS = (KMR, JFM)
VJQ = (JQW, SWB)
HDK = (CVV, SLN)
XSX = (BNS, QKH)
PKH = (DJM, VFV)
CTH = (PBN, XKS)
LWJ = (GFJ, QRF)
LPC = (GMM, RJW)
CPH = (XXM, VTB)
VWF = (GQK, PQD)
PHD = (TVL, KNL)
DNV = (WBJ, GJC)
HQA = (KXJ, BBN)
KLC = (XMP, CSX)
HMX = (NWM, RBC)
HRP = (JVH, QDH)
KKR = (HKC, VPC)
RFS = (WSV, SQF)
JXT = (CLQ, PXX)
STG = (HXX, WRR)
PPC = (QPD, FQM)
MJV = (FXK, MPT)
KBP = (FCW, ZZZ)
VWA = (RLP, QLR)
JRB = (QST, CWS)
NJS = (FXQ, LVD)
VKV = (SCR, SPM)
FCQ = (FXM, QQS)
LWL = (NRN, HRZ)
RCB = (JQW, JQW)
SWR = (XPL, MJC)
XMJ = (LSQ, LSQ)
GTF = (TNB, LVK)
QTR = (NRK, NRK)
KBV = (CDQ, MGJ)
WBS = (FXQ, LVD)
BMM = (CHF, QKF)
BKS = (XTX, MWC)
FSH = (TNB, LVK)
KGR = (JTF, HKB)
