LLLLRLLLLRRRLLLLRLRRLLLLRRRLLRLRRRLLLRRLLLLRLRRRLRLLLRRRLLLRRRLLLLRRRLLLRRRLLLLRRRLRRLRLLRLLRLLLRRRLLLLRRLLLLRLRRLLLLRRRLLLLRRLLLLRRRLLLLRRLRRRLRLLRLLRRRLLLLRRRLLRRRLLLLRRRLRRRLRRRLLRRRLLRRRLRLLLLRRLLLLRLLLRRRLLRRRLRRRLRRLLLLRLLLLRRLLLLRRRLRRRLLLLRRRLRRRLLLLRRRLLLLRRRR

NSX = (QMW, HMF)
BSC = (FHX, MMH)
PMR = (KKM, JWQ)
LJM = (BHX, WRC)
HWS = (XCV, HJR)
TSQ = (KKK, GQX)
QNX = (BPB, MCC)
RMD = (HGV, KLX)
XQJ = (TBT, BQH)
QDV = (WNW, KCN)
TRM = (GDJ, XNM)
LGS = (XFS, SFW)
TCV = (WTN, RKD)
FLG = (PDJ, KPV)
WNV = (LKR, GRH)
KGQ = (JLX, DFJ)
KBM = (LLR, GCR)
JHS = (WVP, TWD)
PSC = (LMD, CCX)
QDS = (DLS, VSC)
PMM = (KPF, QWC)
SDH = (JRR, JTR)
PVJ = (FBK, FLL)
XFS = (MTS, DXT)
XKN = (BVR, DWT)
JJK = (SHJ, LWS)
GDZ = (QQG, PTG)
KTX = (NLL, FPX)
JQS = (MJS, RQJ)
DRQ = (KLL, JXC)
STJ = (GLH, NTQ)
HLC = (CKW, FMR)
JLH = (SWB, VTR)
HMF = (GVD, XVR)
GCX = (SCD, CPD)
XNM = (WKL, FDN)
RRT = (PSQ, RRW)
BHX = (NBV, NBV)
VFL = (RPM, GCG)
DBC = (NSJ, PJR)
FMF = (RGW, KFH)
CTB = (BSG, LNH)
FCT = (GWH, VDM)
LXQ = (GDJ, XNM)
FDH = (DKN, PFD)
QGJ = (WMM, TLN)
KSG = (MDX, VXX)
GXA = (CNS, DTQ)
SDC = (KLL, KLL)
TRW = (HVQ, QSK)
SWB = (TXN, MTD)
DFT = (JSM, XPF)
MQC = (HRG, JDG)
QKR = (FCT, NJV)
HGK = (LPV, NWJ)
WQF = (GKV, LGS)
WHM = (QPV, QGJ)
PSN = (SWR, BBK)
HND = (HFJ, GSZ)
MLB = (VQS, THM)
LQJ = (GLH, NTQ)
